Parameters,Description,Default Values,Required
datavolume.existing _pvc_for_icn_cfgstore,The persistent volume claim for IBM Content Navigator configuration.,icn-cfgstore,"Yes, if you want to use existing PVC"
name,,1Gi,No
size,,,
,,,
datavolume.existing _pvc_for_icn_logstore,The persistent volume claim for IBM Content Navigator logs.,icn-logstore,"Yes, if you want to use existing PVC"
name,,1Gi,No
size,,,
,,,
datavolume.existing _pvc_for_icn_pluginstore,The persistent volume claim for the plug-ins.,icn-pluginstore,"Yes, if you want to use existing PVC"
name,,1Gi,No
size,,,
,,,
datavolume.existing _pvc_for_icnvw_cachestore,The persistent volume claim for the viewer cache.,icn-vw-cachestore,"Yes, if you want to use existing PVC"
name,,1Gi,No
size,,,
,,,
datavolume.existing _pvc_for_icnvw_logstore,The persistent volume claim for the viewer log.,icn-vw-logstore,"Yes, if you want to use existing PVC"
name,,1Gi,No
size,,,
,,,
datavolume.existing _pvc_for_icn_aspera,The persistent volume claim for Aspera®.,icn-asperastore,"Yes, if you want to use existing PVC"
name,,I Gi,No
size,,,
,,,
probe.readiness.period_seconds,The period in seconds.,10,No
probe.readiness.timeout_seconds,The timeout setting in seconds.,10,No
probe.readiness.failure_threshold,The threshold number for failures.,6,No
probe.liveness.period_seconds,The period in seconds.,10,No
probe.liveness.timeout_seconds,The timeout setting in seconds.,5,No
probe.liveness.failure_threshold,The threshold number for failures.,6,No
image_pull_secrets.name,The secrets to be able to pull images.,admin.registrykey,"Yes, only if you want to override the comparable setting in the shared configuration section."
disable_fips,Set to false if your deployment requires FIPS enablement. The value of the parameter should be consistent with the value of ecm_configuration.disable_fips parameter.,TRUE,No
enable_ldap,Optional entry only if you have the open_id_connect_providers enabled. Enabling this will give the user the option to sign-in using the LDAP.,FALSE,No
